"(0.28969840087890625, 0.02633621826171875, 10.158597644042969)","(7.35, 8.25, 72.45)"
"(0.38307226562499996, 0.0430956298828125, 10.16338604736328)","(8.25, 7.35, 73.8)"
"(0.38307226562499996, 0.03591302490234375, 10.172962854003906)","(5.25, 8.1, 73.8)"
"(0.38786066894531246, 0.009576806640625, 10.180145458984374)","(6.75, 8.1, 74.1)"
"(0.40940848388671874, 0.00239420166015625, 10.084377392578125)","(7.6499999999999995, 7.949999999999999, 73.95)"
"(0.39743747558593745, 0.05985504150390625, 10.098742602539062)","(6.6, 7.5, 72.89999999999999)"
"(0.3950432739257812, 0.0, 10.12507882080078)","(6.3, 8.4, 73.35)"
"(0.4429273071289062, 0.04548983154296875, 10.108319409179687)","(6.3, 8.1, 74.1)"
"(0.40940848388671874, 0.05746083984375, 10.122684619140625)","(5.7, 8.85, 73.8)"
"(0.4213794921875, 0.05746083984375, 10.110713610839843)","(6.1499999999999995, 7.949999999999999, 72.89999999999999)"
"(0.36152445068359373, 0.023942016601562498, 10.12507882080078)","(6.6, 7.949999999999999, 73.5)"
"(0.42377369384765623, 0.00718260498046875, 10.117896215820313)","(5.85, 9.45, 73.5)"
"(0.469263525390625, 0.03591302490234375, 10.101136804199218)","(6.1499999999999995, 7.199999999999999, 74.25)"
"(0.3687070556640625, 0.0718260498046875, 10.149020837402343)","(6.0, 7.6499999999999995, 73.8)"
"(0.430956298828125, 0.02633621826171875, 10.144232434082031)","(5.7, 7.6499999999999995, 73.35)"
"(0.38307226562499996, 0.076614453125, 10.110713610839843)","(5.7, 7.6499999999999995, 73.05)"
"(0.44532150878906246, 0.06703764648437499, 10.127473022460936)","(5.85, 9.0, 73.2)"
"(0.46686932373046874, 0.076614453125, 10.156203442382813)","(7.6499999999999995, 6.75, 73.2)"
"(0.41419688720703124, 0.06703764648437499, 10.137049829101562)","(6.6, 7.949999999999999, 73.95)"
"(0.4070142822265625, 0.0526724365234375, 10.180145458984374)","(6.3, 8.85, 73.35)"
"(0.3950432739257812, 0.040701428222656245, 10.103531005859374)","(5.25, 7.6499999999999995, 73.8)"
"(0.38786066894531246, 0.055066638183593745, 10.177751257324218)","(7.35, 7.949999999999999, 73.2)"
"(0.430956298828125, 0.0718260498046875, 10.127473022460936)","(5.85, 7.949999999999999, 74.25)"
"(0.3806780639648437, -0.02154781494140625, 10.127473022460936)","(6.75, 8.4, 73.05)"
